alba_name,sub_code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
유통점ㆍ마트,2020,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.20057401,0.00445465,0.00445465,0.00445465,0.492355881,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.00445465,0.191249205,0.00445465
편의점,2030,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.18877614,0.005250864,0.005250864,0.005250864,0.669450544,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864,0.005250864
의류ㆍ잡화매장,2050,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.51468682,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.004897252,0.353087379
뷰티ㆍ헬스스토어,2060,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.298303413,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.00472173,0.574209875,0.00472173
휴대폰ㆍ전자기기매장,2070,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.853660062,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426,0.005226426
가구ㆍ침구ㆍ생활소품,2080,0.004744775,0.201029863,0.004744775,0.310505571,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.004744775,0.365100408,0.004744775,0.004744775,0.004744775
서점ㆍ문구ㆍ팬시,2090,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.004394569,0.876952082,0.004394569,0.004394569
약국,2100,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.864228651,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977,0.004848977
농수산ㆍ청과ㆍ축산,2110,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.823342924,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181,0.006309181
화훼ㆍ꽃집,2120,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.00614181,0.82802933,0.00614181,0.00614181,0.00614181
유통ㆍ판매?기타,2990,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.516598252,0.00423871,0.368956574,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871,0.00423871
놀이공원ㆍ테마파크,3010,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.865470102,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639,0.004804639
호텔ㆍ리조트ㆍ숙박,3030,0.004747564,0.867068196,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564,0.004747564
여행ㆍ캠프ㆍ레포츠,3040,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.147122579,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.005242024,0.711342766,0.005242024
영화ㆍ공연,3043,0.390063561,0.003388177,0.003388177,0.003388177,0.003388177,0.003388177,0.003388177,0.087538163,0.003388177,0.003388177,0.003388177,0.003388177,0.003388177,0.003388177,0.003388177,0.003388177,0.003388177,0.003388177,0.003388177,0.003388177,0.083479781,0.003388177,0.003388177,0.003388177,0.152258267,0.205343987,0.003388177,0.003388177,0.003388177
전시ㆍ컨벤션ㆍ세미나,3046,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.255725745,0.005397077,0.005397077,0.005397077,0.005397077,0.005397077,0.598553173,0.005397077,0.005397077,0.005397077,0.005397077
스터디룸ㆍ독서실ㆍ고시원,3050,0.010159321,0.346719289,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.378979057,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321,0.010159321
PC방,3060,0.004374407,0.004374407,0.004374407,0.004374407,0.313318782,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.41512086,0.004374407,0.157825768,0.004374407,0.004374407
노래방,3070,0.005255985,0.005255985,0.005255985,0.005255985,0.852832409,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985
볼링ㆍ당구장,3080,0.005255985,0.005255985,0.005255985,0.005255985,0.852832409,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985
스크린?골프ㆍ야구,3090,0.005255985,0.005255985,0.005255985,0.005255985,0.852832409,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985
DVDㆍ멀티방ㆍ만화카페,3110,0.005524127,0.005524127,0.005524127,0.005524127,0.38814263,0.462705951,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127,0.005524127
오락실ㆍ게임장,3120,0.004902521,0.004902521,0.004902521,0.004902521,0.377741545,0.004902521,0.004902521,0.004902521,0.004902521,0.004902521,0.27828203,0.004902521,0.004902521,0.004902521,0.004902521,0.004902521,0.004902521,0.004902521,0.004902521,0.004902521,0.004902521,0.004902521,0.004902521,0.004902521,0.216510873,0.004902521,0.004902521,0.004902521,0.004902521
이색테마카페,3123,0.005255985,0.005255985,0.005255985,0.005255985,0.852832409,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985,0.005255985
키즈카페,3126,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.187244137,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.678356952,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737,0.004977737
찜질방ㆍ사우나ㆍ스파,3130,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.821855635,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299
피트니스ㆍ스포츠,3140,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.240710493,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.005094698,0.621732673,0.005094698
공인중개,3160,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.826949407,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378,0.006180378
골프캐디,3170,0.008950461,0.008950461,0.008950461,0.008950461,0.749387079,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461,0.008950461
고속도로휴게소,3180,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.005695065,0.840538173,0.005695065,0.005695065
문화ㆍ여가ㆍ생활?기타,3990,0.004374407,0.004374407,0.004374407,0.004374407,0.313318782,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.004374407,0.41512086,0.004374407,0.157825768,0.004374407,0.004374407
매장관리ㆍ판매,4010,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.842617708,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796,0.005620796
MD,4015,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.861376948,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823,0.004950823
캐셔ㆍ카운터,4020,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.814403469,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448,0.006628448
서빙,4030,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.821855635,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299,0.006362299
주방장ㆍ조리사,4040,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.006392603,0.821007122,0.006392603,0.006392603
주방보조ㆍ설거지,4050,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.007336939,0.794565719,0.007336939,0.007336939
바리스타,4060,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.68698722,0.005163753,0.005163753,0.005163753,0.005163753,0.005163753,0.173591458,0.005163753,0.005163753
안내데스크,4070,0.005566671,0.379168605,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.470531289,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671,0.005566671
주차관리ㆍ주차도우미,4090,0.007312489,0.326614883,0.007312489,0.007312489,0.007312489,0.007312489,0.47594791,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489,0.007312489
보안ㆍ경비ㆍ경호,4095,0.005124752,0.005124752,0.005124752,0.005124752,0.856506933,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752,0.005124752
주유ㆍ세차,4100,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.767871718,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296,0.008290296
전단지배포,4120,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.846054311,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806,0.00549806
청소ㆍ미화,4130,0.00628843,0.00628843,0.00628843,0.00628843,0.17565034,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.654562049,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843,0.00628843
렌탈관리ㆍA/S,4135,0.005043006,0.858795824,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006,0.005043006
헤어ㆍ미용ㆍ네일샵,4140,0.003766941,0.106118854,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.792173726,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941,0.003766941
피부관리ㆍ마사지,4149,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.833253964,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216,0.005955216
반려동물케어,4160,0.007240668,0.007240668,0.007240668,0.007240668,0.122420831,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668,0.682081137,0.007240668,0.007240668,0.007240668,0.007240668,0.007240668
베이비시터ㆍ가사도우미,4170,0.007339858,0.794483964,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858,0.007339858
결혼ㆍ연회ㆍ장례도우미,4180,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.804533977,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.067740291,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583,0.004730583
판촉도우미,4190,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.821823898,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432,0.006363432
이벤트ㆍ행사스텝,4200,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.763708405,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.005528966,0.08700951,0.005528966,0.005528966,0.005528966
나레이터모델,4210,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.006381232,0.82132551
피팅모델,4220,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.826087411,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164,0.006211164
서비스?기타,4990,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.553366856,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.003723257,0.093318725,0.003723257,0.256509739,0.003723257
사무보조,6010,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.741390641,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049,0.009236049
문서작성ㆍ자료조사,6015,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.325375684,0.575865272,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742,0.003657742
