alba_name,sub_code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
유통점ㆍ마트,2020,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.20008502,0.004455505,0.004455505,0.004455505,0.493248335,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.004455505,0.190823515,0.004455505
편의점,2030,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.188580901,0.005251754,0.005251754,0.005251754,0.669621735,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754,0.005251754
의류ㆍ잡화매장,2050,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.542754631,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.004898795,0.324977896
뷰티ㆍ헬스스토어,2060,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.292464063,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.004722154,0.580037774,0.004722154
휴대폰ㆍ전자기기매장,2070,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.853606999,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321,0.005228321
가구ㆍ침구ㆍ생활소품,2080,0.004746181,0.196464812,0.004746181,0.308473674,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.004746181,0.371660805,0.004746181,0.004746181,0.004746181
서점ㆍ문구ㆍ팬시,2090,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.004395866,0.876915743,0.004395866,0.004395866
약국,2100,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.864167727,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153,0.004851153
농수산ㆍ청과ㆍ축산,2110,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.823294497,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911,0.006310911
화훼ㆍ꽃집,2120,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.006146068,0.827910093,0.006146068,0.006146068,0.006146068
유통ㆍ판매?기타,2990,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.512840506,0.004239067,0.372704688,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067,0.004239067
놀이공원ㆍ테마파크,3010,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.865509118,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246,0.004803246
호텔ㆍ리조트ㆍ숙박,3030,0.004748872,0.867031596,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872,0.004748872
여행ㆍ캠프ㆍ레포츠,3040,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.158059941,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.005244913,0.700327398,0.005244913
